pr_gene_id,A375,A549,BT20,HCT116,HS578T,HT29,LOVO,MCF7,MDAMB231,PC3,RKO,SKBR3,SKMEL28,SW620,SW948,VCAP
6659,0.52435,-0.6172,-0.27762377,0.21375,-0.63485,0.5477,-0.899,-0.20844012,-0.306,0.100092664,-0.6804,-0.25575,1.4751,0.11504058,-0.2726196,1.1168
7016,2.5362,0.3881,0.9120514,0.28950003,1.0969,-0.5436,0.5452,1.0225613,0.91985005,0.15411957,-0.7689,-0.054250002,-0.3687,0.37431967,-0.27710548,0.5938
90861,0.4711,-0.4457,0.6542309,-0.17265,-0.39650002,0.0644,-0.7599,0.73874927,1.38455,-0.5240965,1.0355,-0.60824996,1.6856,-0.16368826,-0.10688433,0.5052
10670,0.16499999,0.2789,-0.23409805,0.49184996,-1.75025,-0.7582,-0.3859,-0.8297981,0.4888,0.09542445,1.0131,0.10660002,0.1883,0.6102053,0.07421088,-0.2179
79071,-0.19825001,-1.6235,0.33463758,0.50495,0.52345,0.4662,1.3315,0.5987194,0.7276,0.87914014,0.206,0.1164,0.1493,1.467138,0.6129979,0.2677
64746,-0.60300004,-0.6729,-0.3340602,-0.42995003,-0.4717,-0.3422,-1.0587,0.055648386,0.137,-0.33952183,0.5785,-0.45354998,-0.901,-1.1103282,0.2175159,-0.6625
5366,0.30925,-0.0951,0.14190662,-1.1434,-0.52695,0.785,0.0757,0.2168477,-0.7098,0.02052413,-1.6823,2.19775,0.2282,-0.9142436,-1.2367591,0.8335
11344,0.58875,-0.3346,-0.25090888,0.20305,-0.02685,0.077,-0.9417,-0.48597592,-0.237,0.19669893,1.2671,-0.54065,0.8458,0.7984902,0.18584163,-0.6769
10013,-0.87735,-0.3174,-0.39468694,-0.25425002,-0.72379994,-0.654,-0.6442,-0.6803164,0.41184998,-0.3511777,-0.987,1.4356501,-1.9851,0.036543936,0.20574361,0.1817
5829,-0.12135002,-0.3006,0.5762417,0.52030003,0.89495003,-0.1456,-1.1172,-0.49927172,0.90470004,-0.13161738,-0.6263,1.45665,0.3632,1.0981874,-0.10084085,0.5655
